CountyFIPS,State,County,MedianRUCA,madRUCA,PopwtdmedianRUCA,AreawtdmedianRUCA,Population_2010,RUCC_2013,Description
1001,AL,Autauga County,1,0,0.093,0.011,"54,571",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1003,AL,Baldwin County,3,2,0.074,0.032,"182,265",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1005,AL,Barbour County,7,0,0.847,1.164,"27,457",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1007,AL,Bibb County,2,0,0.498,0.459,"22,915",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1009,AL,Blount County,3,1,0.384,0.447,"57,322",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1011,AL,Bullock County,2,0,0.436,0.531,"10,914",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1013,AL,Butler County,7,1,0.815,0.35,"20,947",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1015,AL,Calhoun County,1,0,0.032,0.015,"118,572",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1017,AL,Chambers County,4,0,0.445,0.204,"34,215",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1019,AL,Cherokee County,2.5,0.5,0.437,0.423,"25,989",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1021,AL,Chilton County,7,2,0.665,0.303,"43,643",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1023,AL,Choctaw County,10,0,2.256,2.189,"13,859",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1025,AL,Clarke County,8,2,0.545,0.577,"25,833",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1027,AL,Clay County,3.5,1.5,0.827,1.109,"13,932",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1029,AL,Cleburne County,2,0,0.509,0.628,"14,972",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1031,AL,Coffee County,5,1,0.283,0.491,"49,948",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1033,AL,Colbert County,1,0,0.096,0.011,"54,428",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1035,AL,Conecuh County,7,1,1.047,1.423,"13,228",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1037,AL,Coosa County,5,2,1.702,1.193,"11,539",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1039,AL,Covington County,7,0,0.393,0.159,"37,765",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1041,AL,Crenshaw County,2,0,0.367,0.389,"13,906",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1043,AL,Cullman County,5,0,0.258,0.267,"80,406",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1045,AL,Dale County,4,0.5,0.268,0.097,"50,251",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1047,AL,Dallas County,4,0,0.291,0.054,"43,820",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1049,AL,DeKalb County,8.5,1.5,0.543,0.553,"71,109",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1051,AL,Elmore County,2,1,0.093,0.103,"79,303",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1053,AL,Escambia County,7,0,0.853,0.622,"38,319",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1055,AL,Etowah County,1,0,0.035,0.016,"104,430",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
